body_type,color,fuel_type,model_date_begin,name,series,number_of_doors,production_date,vehicle_transmission,engine_displacement,engine_power,mileage,gear_type,steering_wheel,owners,technical_passport,car_age,mileage_per_year,exp_year,high-beam-assist,front-seats-heat-vent,bluetooth,laser-lights,light-sensor,adaptive-light,apple-carplay,electro-trunk,third-row-seats,keyless-entry,activ-suspension,multizone-climate-control,body-kit,projection-display,start-stop-function,start-button,paint-metallic,wheel-heat,passenger-seat-electric,rain-sensor,navigation,voice-recognition,multi-wheel,airbag-curtain,glonass,auto-mirrors,usb,power-latching-doors,led-lights,auto-park,bas,isofix,tyre-pressure,air-suspension,decorative-interior-lighting,360-camera,wireless-charger,electronic-gage-panel,model_age,covid,price,dataset,luxury_tax,car_tax,equipments_count
hatchback,orange,gasoline,2011,116i,1ER,5,2013,AT,1600,136,5,rear,left,1,original,4,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,707070,train,1.0,3264,7
hatchback,black,gasoline,2007,118i,1ER,5,2008,MT,2000,136,9,rear,left,3,duplicate,5,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,427700,train,1.0,3264,3
hatchback,white,gasoline,2007,116i,1ER,5,2011,MT,1600,115,6,rear,left,3,original,4,2.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,441805,train,1.0,2300,0
hatchback,white,gasoline,2007,118i,1ER,5,2010,AT,2000,136,3,rear,left,1,original,5,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,546000,train,1.0,3264,0
hatchback,black,gasoline,2004,118i,1ER,5,2007,AT,2000,129,9,rear,left,3,duplicate,5,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,391300,train,1.0,3096,0
hatchback,black,gasoline,2017,118i,1ER,5,2018,AT,1500,136,3,rear,left,2,original,2,3.0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1,1407770,train,1.0,3264,7
hatchback,orange,gasoline,2011,116i,1ER,5,2011,AT,1600,136,6,rear,left,3,duplicate,4,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,699790,train,1.0,3264,5
hatchback,grey,gasoline,2007,120i,1ER,3,2008,AT,2000,156,8,rear,left,3,original,5,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,350350,train,1.0,6552,0
hatchback,black,gasoline,2007,116i,1ER,5,2011,AT,1600,115,7,rear,left,3,original,4,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,438165,train,1.0,2300,0
hatchback,red,gasoline,2007,116i,1ER,5,2009,AT,1600,115,3,rear,left,1,original,5,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,626990,train,1.0,2300,1
hatchback,white,gasoline,2011,116i,1ER,5,2013,AT,1600,136,6,rear,left,3,original,4,2.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,1,591500,train,1.0,3264,7
hatchback,grey,gasoline,2004,118i,1ER,5,2005,AT,2000,129,9,rear,left,3,original,5,2.0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,16,1,327600,train,1.0,3096,4
hatchback,white,gasoline,2007,118i,1ER,5,2010,AT,2000,136,6,rear,left,3,original,5,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,414050,train,1.0,3264,0
hatchback,black,gasoline,2011,116i,1ER,5,2012,AT,1600,136,4,rear,left,3,original,4,2.0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,9,1,581490,train,1.0,3264,12
hatchback,white,gasoline,2007,116i,1ER,5,2009,AT,1600,115,10,rear,left,3,duplicate,5,3.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,363090,train,1.0,2300,0
hatchback,black,gasoline,2007,116i,1ER,5,2009,AT,1600,115,7,rear,left,1,original,5,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,400400,train,1.0,2300,0
hatchback,white,gasoline,2011,116i,1ER,5,2014,AT,1600,136,4,rear,left,3,original,4,2.0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,9,1,800800,train,1.0,3264,9
hatchback,white,gasoline,2015,118i,1ER,5,2016,AT,1500,136,2,rear,left,1,original,3,1.0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,5,1,980980,train,1.0,3264,13
hatchback,black,gasoline,2007,116i,1ER,5,2011,AT,1600,115,4,rear,left,2,original,4,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,541450,train,1.0,2300,0
coupe,white,diesel,2007,120d,1ER,2,2008,AT,2000,177,9,rear,left,3,duplicate,5,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,568750,train,1.0,7611,0
hatchback,white,gasoline,2011,116i,1ER,3,2013,AT,1600,136,5,rear,left,3,original,4,2.0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9,1,596050,train,1.0,3264,8
hatchback,black,gasoline,2017,118i,1ER,5,2019,AT,1500,136,1,rear,left,2,original,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1318590,train,1.0,3264,0
hatchback,black,gasoline,2011,116i,1ER,5,2012,AT,1600,136,3,rear,left,1,original,4,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,717990,train,1.0,3264,7
hatchback,mid_blue,gasoline,2015,118i,1ER,5,2015,AT,1500,136,3,rear,left,2,original,3,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,918554,train,1.0,3264,0
hatchback,red,gasoline,2011,118i,1ER,5,2012,AT,1600,170,7,rear,left,1,original,4,3.0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,745290,train,1.0,7140,5
hatchback,white,gasoline,2011,116i,1ER,5,2013,AT,1600,136,6,rear,left,2,original,4,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,591500,train,1.0,3264,7
hatchback,white,gasoline,2011,116i,1ER,5,2013,AT,1600,136,6,rear,left,3,duplicate,4,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,599690,train,1.0,3264,1
hatchback,orange,gasoline,2011,116i,1ER,5,2013,AT,1600,136,5,rear,left,3,original,4,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,709800,train,1.0,3264,0
hatchback,black,gasoline,2015,118i,1ER,5,2017,AT,1500,136,5,rear,left,1,original,2,4.0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,5,1,1092455,train,1.0,3264,12
hatchback,black,gasoline,2007,116i,1ER,5,2009,AT,1600,115,6,rear,left,3,duplicate,5,2.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,426790,train,1.0,2300,0
hatchback,black,gasoline,2004,116i,1ER,5,2005,MT,1600,115,9,rear,left,2,original,5,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,323050,train,1.0,2300,0
hatchback,white,gasoline,2015,118i,1ER,5,2016,AT,1500,136,4,rear,left,1,original,3,3.0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,945308,train,1.0,3264,4
hatchback,white,gasoline,2011,118i,1ER,5,2012,AT,1600,170,5,rear,left,1,original,4,2.0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,796796,train,1.0,7140,4
hatchback,white,gasoline,2017,118i,1ER,5,2017,AT,1500,136,2,rear,left,2,original,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1159340,train,1.0,3264,0
hatchback,white,gasoline,2011,116i,1ER,3,2012,AT,1600,136,4,rear,left,1,original,4,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,582400,train,1.0,3264,0
hatchback,black,gasoline,2007,116i,1ER,5,2008,AT,1600,115,9,rear,left,3,duplicate,5,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,400400,train,1.0,2300,0
hatchback,orange,gasoline,2011,116i,1ER,5,2012,AT,1600,136,5,rear,left,3,original,4,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,646100,train,1.0,3264,7
hatchback,black,gasoline,2007,116i,1ER,5,2008,AT,1600,115,8,rear,left,3,duplicate,5,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,1,364000,train,1.0,2300,5
hatchback,silver,gasoline,2004,118i,1ER,5,2006,AT,2000,129,7,rear,left,3,original,5,2.0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,386750,train,1.0,3096,6
hatchback,white,gasoline,2007,116i,1ER,5,2009,AT,1600,115,11,rear,left,1,original,5,3.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,409500,train,1.0,2300,0
hatchback,black,gasoline,2007,118i,1ER,5,2011,AT,2000,136,5,rear,left,3,original,4,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,476840,train,1.0,3264,1
hatchback,orange,gasoline,2011,116i,1ER,3,2012,AT,1600,136,5,rear,left,2,original,4,2.0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,1,714350,train,1.0,3264,11
hatchback,white,gasoline,2017,118i,1ER,5,2019,AT,1500,136,1,rear,left,1,original,1,2.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3,1,1571570,train,1.0,3264,12
hatchback,black,gasoline,2011,116i,1ER,5,2013,AT,1600,136,5,rear,left,3,original,4,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,700609,train,1.0,3264,7
hatchback,black,gasoline,2011,116i,1ER,5,2013,AT,1600,136,7,rear,left,3,original,4,3.0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,654290,train,1.0,3264,7
hatchback,orange,gasoline,2017,118i,1ER,5,2017,AT,1500,136,4,rear,left,1,original,2,3.0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,1,1318080,train,1.0,3264,7
hatchback,white,gasoline,2007,116i,1ER,5,2010,AT,1600,115,7,rear,left,3,duplicate,5,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,409500,train,1.0,2300,2
hatchback,white,gasoline,2011,116i,1ER,5,2012,AT,1600,136,7,rear,left,1,original,4,3.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,614250,train,1.0,3264,0
hatchback,red,gasoline,2007,116i,1ER,5,2011,AT,1600,115,6,rear,left,2,original,4,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,465979,train,1.0,2300,1
hatchback,mid_blue,gasoline,2017,118i,1ER,5,2019,AT,1500,136,1,rear,left,1,original,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,1,1547000,train,1.0,3264,8
hatchback,mid_blue,gasoline,2017,118i,1ER,5,2018,AT,1500,136,3,rear,left,1,original,2,4.0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,1546090,train,1.0,3264,8
hatchback,black,gasoline,2007,116i,1ER,5,2011,AT,1600,115,4,rear,right,3,original,4,1.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,473200,train,1.0,2300,0
hatchback,mid_blue,gasoline,2007,116i,1ER,5,2008,MT,1600,115,8,rear,left,3,original,5,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,377650,train,1.0,2300,1
coupe,black,gasoline,2007,135i,1ER,2,2010,AT,3000,306,6,rear,left,3,original,5,2.0,8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13,1,1091999,train,1.0,40392,10
hatchback,black,gasoline,2017,118i,1ER,5,2019,AT,1500,136,2,rear,left,1,original,1,4.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1365000,train,1.0,3264,0
hatchback,silver,gasoline,2011,M135i xDrive,1ER,5,2014,AT,3000,320,2,4w,left,3,original,4,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,1,1638000,train,1.0,42240,10
hatchback,white,diesel,2011,120d,1ER,5,2011,AT,2000,184,8,rear,left,3,original,4,2.0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,789880,train,1.0,7912,2
hatchback,black,gasoline,2007,116i,1ER,5,2008,AT,1600,115,6,rear,left,3,duplicate,5,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,318500,train,1.0,2300,0
hatchback,black,gasoline,2007,118i,1ER,5,2008,AT,2000,136,9,rear,left,1,duplicate,5,2.0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,1,341250,train,1.0,3264,3
hatchback,white,gasoline,2011,116i,1ER,5,2013,AT,1600,136,4,rear,left,1,original,4,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,709800,train,1.0,3264,7
hatchback,black,gasoline,2011,116i,1ER,5,2013,AT,1600,136,5,rear,left,2,original,4,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,536900,train,1.0,3264,0
hatchback,black,gasoline,2007,116i,1ER,5,2010,AT,1600,115,3,rear,left,2,original,5,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,536900,train,1.0,2300,1
hatchback,black,gasoline,2011,116i,1ER,5,2013,AT,1600,136,8,rear,left,3,original,4,3.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,590590,train,1.0,3264,7
hatchback,grey,gasoline,2017,118i,1ER,5,2018,AT,1500,136,2,rear,left,3,original,2,3.0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1319500,train,1.0,3264,12
hatchback,black,gasoline,2015,118i,1ER,5,2015,AT,1600,136,4,rear,left,3,original,3,2.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,880206,train,1.0,3264,0
hatchback,mid_blue,gasoline,2011,M135i xDrive,1ER,5,2013,AT,3000,320,4,4w,left,1,original,4,2.0,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,1237600,train,1.0,42240,9
hatchback,white,gasoline,2007,116i,1ER,5,2011,AT,1600,115,5,rear,left,2,duplicate,4,2.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,445900,train,1.0,2300,0
hatchback,grey,diesel,2017,120d xDrive,1ER,5,2019,AT,2000,190,1,4w,left,1,original,1,2.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,2299678,train,1.0,8170,12
hatchback,grey,gasoline,2017,118i,1ER,5,2018,AT,1500,136,2,rear,left,1,original,2,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,1,1425970,train,1.0,3264,10
hatchback,silver,gasoline,2004,116i,1ER,5,2005,MT,1600,115,9,rear,left,3,duplicate,5,2.0,12,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,16,1,332150,train,1.0,2300,10
hatchback,black,gasoline,2007,118i,1ER,3,2007,AT,2000,136,7,rear,left,3,duplicate,5,2.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,318500,train,1.0,3264,1
hatchback,white,gasoline,2007,116i,1ER,3,2011,AT,1600,115,5,rear,left,3,duplicate,4,2.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,13,1,450450,train,1.0,2300,4
hatchback,white,gasoline,2011,116i,1ER,5,2012,AT,1600,136,7,rear,left,3,original,4,3.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,527800,train,1.0,3264,7
hatchback,mid_blue,gasoline,2004,120i,1ER,5,2007,AT,2000,150,8,rear,left,3,duplicate,5,2.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,373100,train,1.0,3600,2
hatchback,black,gasoline,2011,116i,1ER,5,2012,AT,1600,136,4,rear,left,3,original,4,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,1,518700,train,1.0,3264,7
hatchback,grey,gasoline,2007,118i,1ER,5,2007,AT,2000,136,8,rear,left,3,original,5,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,291200,train,1.0,3264,0
hatchback,white,gasoline,2017,118i,1ER,5,2019,AT,1500,136,1,rear,left,1,original,1,3.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,3,1,1688050,train,1.0,3264,14
hatchback,red,diesel,2011,120d,1ER,5,2011,AT,2000,184,6,rear,left,3,original,4,2.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,910000,train,1.0,7912,2
